word,sentiment
cinta,positive
dimaafkan,positive
dikejar,positive
tidak apa-apa,positive
cepat sembuh,positive
jago,positive
imut,positive
jujur,positive
adil,positive
lucu,positive
terima kasih,positive
sehat,positive
manis,positive
mantap,positive
lebih baik,positive
mengaku,positive
profesional,positive
nyaman,positive
rezeki,positive
setuju,positive
sumbangan,positive
amal,positive
menggemaskan,positive
boleh juga,positive
setuju,positive
